Frequency(MHz),Power(dBmV/100kHz)_20260203_064235
107.8981,-82.52
107.9981,-55.89
108.0981,-55.7
108.1981,-54.38
108.2981,-55.13
108.3981,-55.7
108.4981,-54.0
108.5981,-54.19
108.6981,-56.26
108.7981,-58.43
108.8981,-58.71
108.9981,-55.7
109.0981,-54.76
109.1981,-53.91
109.2981,-52.69
109.3981,-51.93
109.4981,-51.84
109.5981,-53.06
109.6981,-52.5
109.7981,-53.44
109.8981,-55.23
109.9981,-54.19
110.0981,-53.82
110.1981,-54.0
110.2981,-54.57
110.3981,-57.58
110.4981,-58.14
110.5981,-57.3
110.6981,-57.2
110.7981,-53.72
110.8981,-51.84
110.9981,-50.99
111.0981,-51.46
111.1981,-52.03
111.2981,-51.46
111.3981,-52.78
111.4981,-55.42
111.5981,-55.32
111.6981,-56.45
111.7981,-56.36
111.8981,-55.13
111.9981,-54.85
112.0981,-54.85
112.1981,-54.1
112.2981,-53.72
112.3981,-55.04
112.4981,-55.7
112.5981,-55.51
112.6981,-54.66
112.7981,-56.36
112.8981,-56.54
112.9981,-57.02
113.0981,-54.76
113.1981,-54.66
113.2981,-55.04
113.3981,-54.85
113.4981,-55.23
113.5981,-52.87
113.6981,-52.5
113.7981,-52.03
113.8981,-52.03
113.9981,-52.87
114.0981,-54.85
114.1981,-56.83
114.2981,-58.99
114.3981,-58.9
114.4981,-57.86
114.5981,-55.42
114.6981,-53.44
114.7981,-52.69
114.8981,-53.25
114.9981,-54.29
115.0981,-53.82
115.1981,-54.66
115.2981,-53.06
115.3981,-52.97
115.4981,-54.57
115.5981,-54.29
115.6981,-54.47
115.7981,-56.26
115.8981,-56.36
115.9981,-56.92
116.0981,-57.96
116.1981,-57.67
116.2981,-55.13
116.3981,-53.63
116.4981,-53.06
116.5981,-53.16
116.6981,-53.44
116.7981,-54.0
116.8981,-56.45
116.9981,-56.73
117.0981,-54.76
117.1981,-54.66
117.2981,-54.57
117.3981,-53.06
117.4981,-52.31
117.5981,-53.82
117.6981,-54.47
117.7981,-53.91
117.8981,-54.94
117.9981,-56.36
118.0981,-54.29
118.1981,-54.38
118.2981,-55.98
118.3981,-57.3
118.4981,-56.54
118.5981,-56.17
118.6981,-56.45
118.7981,-56.45
118.8981,-54.66
118.9981,-54.1
119.0981,-52.97
119.1981,-52.03
119.2981,-51.84
119.3981,-52.31
119.4981,-52.12
119.5981,-55.32
119.6981,-56.64
119.7981,-55.04
119.8981,-56.45
119.9981,-56.64
120.0981,-55.79
120.1981,-52.97
120.2981,-52.4
120.3981,-53.63
120.4981,-53.91
120.5981,-54.94
120.6981,-54.1
120.7981,-52.87
120.8981,-53.34
120.9981,-51.93
121.0981,-52.31
121.1981,-53.06
121.2981,-54.94
121.3981,-56.07
121.4981,-56.45
121.5981,-54.94
121.6981,-54.0
121.7981,-52.87
121.8981,-51.93
121.9981,-51.84
122.0981,-52.69
122.1981,-54.66
122.2981,-57.49
122.3981,-58.33
122.4981,-57.02
122.5981,-55.79
122.6981,-54.19
122.7981,-53.72
122.8981,-52.4
122.9981,-51.93
123.0981,-50.8
123.1981,-51.56
123.2981,-52.03
123.3981,-52.31
123.4981,-53.91
123.5981,-55.13
123.6981,-54.0
123.7981,-54.66
123.8981,-55.51
123.9981,-55.98
124.0981,-55.23
124.1981,-54.38
124.2981,-54.47
124.3981,-53.16
124.4981,-51.93
124.5981,-51.09
124.6981,-50.8
124.7981,-51.09
124.8981,-52.12
124.9981,-54.1
125.0981,-55.32
125.1981,-55.98
125.2981,-55.98
125.3981,-55.13
125.4981,-53.16
125.5981,-53.82
125.6981,-53.25
125.7981,-52.97
125.8981,-54.94
125.9981,-54.0
126.0981,-53.72
126.1981,-54.66
126.2981,-54.0
126.3981,-53.34
126.4981,-54.19
126.5981,-53.91
126.6981,-53.44
126.7981,-54.47
126.8981,-53.72
126.9981,-52.78
127.0981,-52.22
127.1981,-51.74
127.2981,-51.27
127.3981,-51.56
127.4981,-52.4
127.5981,-54.66
127.6981,-55.13
127.7981,-57.02
127.8981,-57.86
127.9981,-56.92
128.0981,-54.57
128.1981,-53.63
128.2981,-54.76
128.3981,-53.91
128.4981,-52.03
128.5981,-51.65
128.6981,-52.97
128.7981,-55.98
128.8981,-54.1
128.9981,-51.93
129.0981,-51.93
129.1981,-54.19
129.2981,-55.13
129.3981,-57.3
129.4981,-56.83
129.5981,-56.07
129.6981,-55.13
129.7981,-54.1
129.8981,-53.72
129.9981,-52.5
130.0981,-52.59
130.1981,-53.34
130.2981,-53.82
130.3981,-53.91
130.4981,-55.32
130.5981,-55.13
130.6981,-53.72
130.7981,-52.03
130.8981,-52.12
130.9981,-53.34
131.0981,-53.25
131.1981,-52.69
131.2981,-53.44
131.3981,-53.91
131.4981,-55.32
131.5981,-56.07
131.6981,-55.23
131.7981,-55.98
131.8981,-56.92
131.9981,-57.11
132.0981,-56.07
132.1981,-56.17
132.2981,-55.13
132.3981,-52.78
132.4981,-51.93
132.5981,-51.65
132.6981,-50.43
132.7981,-51.18
132.8981,-52.31
132.9981,-52.03
133.0981,-53.44
133.1981,-54.76
133.2981,-56.17
133.3981,-56.83
133.4981,-57.3
133.5981,-55.7
133.6981,-54.57
133.7981,-54.94
133.8981,-54.66
133.9981,-54.66
134.0981,-54.76
134.1981,-54.38
134.2981,-53.44
134.3981,-54.47
134.4981,-54.66
134.5981,-53.82
134.6981,-54.85
134.7981,-56.26
134.8981,-57.77
134.9981,-57.02
135.0981,-57.02
135.1981,-54.47
135.2981,-53.44
135.3981,-54.0
135.4981,-53.91
135.5981,-54.19
135.6981,-54.85
135.7981,-56.26
135.8981,-57.96
135.9981,-57.11
136.0981,-55.13
136.1981,-54.47
136.2981,-55.32
136.3981,-53.53
136.4981,-53.16
136.5981,-52.97
136.6981,-54.0
136.7981,-54.85
136.8981,-55.32
136.9981,-55.32
137.0981,-53.72
137.1981,-54.47
137.2981,-56.36
137.3981,-56.64
137.4981,-58.05
137.5981,-57.02
137.6981,-55.7
137.7981,-52.59
137.8981,-52.31
137.9981,-52.12
138.0981,-51.27
138.1981,-50.9
138.2981,-51.27
138.3981,-52.69
138.4981,-53.34
138.5981,-55.51
138.6981,-57.77
138.7981,-56.36
138.8981,-55.32
138.9981,-54.19
139.0981,-52.87
139.1981,-53.82
139.2981,-54.85
139.3981,-55.32
139.4981,-54.66
139.5981,-54.29
139.6981,-54.29
139.7981,-54.19
139.8981,-53.72
139.9981,-55.23
140.0981,-56.45
140.1981,-57.2
140.2981,-56.83
140.3981,-55.04
140.4981,-53.63
140.5981,-51.56
140.6981,-51.37
140.7981,-51.93
140.8981,-52.22
140.9981,-52.87
141.0981,-53.91
141.1981,-56.26
141.2981,-58.05
141.3981,-58.43
141.4981,-57.67
141.5981,-57.02
141.6981,-54.85
141.7981,-53.34
141.8981,-52.69
141.9981,-52.5
142.0981,-52.69
142.1981,-52.59
142.2981,-53.25
142.3981,-54.29
142.4981,-54.57
142.5981,-53.44
142.6981,-52.87
142.7981,-54.85
142.8981,-56.54
142.9981,-56.07
143.0981,-57.2
143.1981,-56.26
143.2981,-54.0
143.3981,-52.5
143.4981,-51.74
143.5981,-53.72
143.6981,-53.44
143.7981,-53.16
143.8981,-55.23
143.9981,-54.85
144.0981,-55.04
144.1981,-55.04
144.2981,-55.32
144.3981,-54.29
144.4981,-53.06
144.5981,-54.0
144.6981,-53.06
144.7981,-53.63
144.8981,-53.16
144.9981,-53.34
145.0981,-54.66
145.1981,-54.47
145.2981,-54.76
145.3981,-55.98
145.4981,-56.83
145.5981,-55.98
145.6981,-55.51
145.7981,-55.6
145.8981,-54.38
145.9981,-52.97
146.0981,-51.84
146.1981,-52.03
146.2981,-51.46
146.3981,-50.43
146.4981,-51.84
146.5981,-54.19
146.6981,-56.07
146.7981,-56.45
146.8981,-56.54
146.9981,-54.85
147.0981,-55.89
147.1981,-56.73
147.2981,-57.39
147.3981,-55.98
147.4981,-54.0
147.5981,-53.91
147.6981,-52.97
147.7981,-52.69
147.8981,-54.29
147.9981,-54.57
148.0981,-55.13
148.1981,-55.04
148.2981,-54.29
148.3981,-54.66
148.4981,-55.42
148.5981,-54.1
148.6981,-53.82
148.7981,-53.34
148.8981,-52.22
148.9981,-53.16
149.0981,-54.29
149.1981,-54.19
149.2981,-55.79
149.3981,-56.92
149.4981,-56.64
149.5981,-56.64
149.6981,-54.47
149.7981,-54.29
149.8981,-54.76
149.9981,-53.91
150.0981,-54.38
150.1981,-53.25
150.2981,-52.4
150.3981,-52.22
150.4981,-53.25
150.5981,-53.34
150.6981,-52.97
150.7981,-53.91
150.8981,-55.32
150.9981,-58.05
151.0981,-60.21
151.1981,-57.02
151.2981,-54.47
151.3981,-54.85
151.4981,-53.72
151.5981,-54.47
151.6981,-52.87
151.7981,-52.87
151.8981,-53.44
151.9981,-52.87
152.0981,-53.72
152.1981,-55.7
152.2981,-55.89
152.3981,-55.32
152.4981,-54.29
152.5981,-55.79
152.6981,-54.38
152.7981,-53.72
152.8981,-54.19
152.9981,-53.25
153.0981,-52.97
153.1981,-53.25
153.2981,-52.97
153.3981,-54.19
153.4981,-54.57
153.5981,-56.45
153.6981,-58.24
153.7981,-57.02
153.8981,-54.66
153.9981,-54.1
154.0981,-53.06
154.1981,-51.09
154.2981,-51.46
154.3981,-51.93
154.4981,-53.06
154.5981,-55.23
154.6981,-55.32
154.7981,-55.7
154.8981,-57.02
154.9981,-57.67
155.0981,-55.04
155.1981,-54.1
155.2981,-53.72
155.3981,-54.1
155.4981,-53.82
155.5981,-53.63
155.6981,-52.5
155.7981,-51.27
155.8981,-51.09
155.9981,-51.65
156.0981,-51.56
156.1981,-52.78
156.2981,-54.38
156.3981,-54.94
156.4981,-56.83
156.5981,-57.77
156.6981,-56.07
156.7981,-54.38
156.8981,-53.44
156.9981,-53.06
157.0981,-52.69
157.1981,-53.25
157.2981,-52.97
157.3981,-53.63
157.4981,-54.57
157.5981,-54.47
157.6981,-54.38
157.7981,-54.57
157.8981,-54.1
157.9981,-53.72
158.0981,-54.29
158.1981,-53.34
158.2981,-51.84
158.3981,-51.37
158.4981,-52.22
158.5981,-52.22
158.6981,-52.78
158.7981,-54.1
158.8981,-53.63
158.9981,-54.1
159.0981,-57.39
159.1981,-58.05
159.2981,-56.36
159.3981,-53.34
159.4981,-52.69
159.5981,-51.84
159.6981,-50.33
159.7981,-50.14
159.8981,-51.27
159.9981,-53.06
160.0981,-53.06
160.1981,-54.1
160.2981,-56.17
160.3981,-57.02
160.4981,-57.2
160.5981,-56.92
160.6981,-54.94
160.7981,-54.47
160.8981,-54.76
160.9981,-53.91
161.0981,-53.16
161.1981,-52.03
161.2981,-52.59
161.3981,-53.63
161.4981,-53.34
161.5981,-53.06
161.6981,-53.16
161.7981,-54.76
161.8981,-57.11
161.9981,-56.45
162.0981,-53.34
162.1981,-53.53
162.2981,-54.57
162.3981,-52.78
162.4981,-52.87
162.5981,-53.25
162.6981,-53.34
162.7981,-54.85
162.8981,-55.7
162.9981,-54.57
163.0981,-54.29
163.1981,-55.6
163.2981,-54.85
163.3981,-54.47
163.4981,-55.13
163.5981,-53.44
163.6981,-51.84
163.7981,-52.78
163.8981,-52.87
163.9981,-52.78
164.0981,-52.59
164.1981,-53.16
164.2981,-55.32
164.3981,-56.45
164.4981,-57.3
164.5981,-57.11
164.6981,-56.07
164.7981,-52.97
164.8981,-52.69
164.9981,-53.72
165.0981,-52.78
165.1981,-51.09
165.2981,-50.99
165.3981,-53.91
165.4981,-54.47
165.5981,-54.19
165.6981,-53.91
165.7981,-56.07
165.8981,-54.38
165.9981,-54.94
166.0981,-56.83
166.1981,-55.13
166.2981,-54.1
166.3981,-53.25
166.4981,-52.87
166.5981,-51.37
166.6981,-52.78
166.7981,-54.19
166.8981,-53.53
166.9981,-54.1
167.0981,-55.13
167.1981,-56.36
167.2981,-57.39
167.3981,-55.6
167.4981,-55.7
167.5981,-52.5
167.6981,-52.22
167.7981,-52.4
167.8981,-50.62
167.9981,-50.9
168.0981,-52.97
168.1981,-53.63
168.2981,-55.7
168.3981,-55.42
168.4981,-54.94
168.5981,-55.13
168.6981,-56.92
168.7981,-55.42
168.8981,-55.32
168.9981,-54.66
169.0981,-53.82
169.1981,-53.63
169.2981,-52.59
169.3981,-51.09
169.4981,-50.71
169.5981,-51.46
169.6981,-51.74
169.7981,-55.04
169.8981,-56.92
169.9981,-57.77
170.0981,-57.3
170.1981,-55.89
170.2981,-54.47
170.3981,-53.53
170.4981,-52.4
170.5981,-52.03
170.6981,-51.46
170.7981,-52.12
170.8981,-53.34
170.9981,-54.0
171.0981,-53.53
171.1981,-53.63
171.2981,-52.59
171.3981,-52.97
171.4981,-55.6
171.5981,-55.6
171.6981,-53.16
171.7981,-52.97
171.8981,-51.84
171.9981,-52.4
172.0981,-51.46
172.1981,-51.46
172.2981,-53.82
172.3981,-55.32
172.4981,-56.26
172.5981,-57.58
172.6981,-57.96
172.7981,-55.79
172.8981,-54.0
172.9981,-52.78
173.0981,-53.53
173.1981,-52.69
173.2981,-51.84
173.3981,-52.22
173.4981,-51.74
173.5981,-51.56
173.6981,-50.99
173.7981,-54.1
173.8981,-56.64
173.9981,-55.79
174.0981,-56.73
174.1981,-58.24
174.2981,-56.45
174.3981,-55.04
174.4981,-53.34
174.5981,-52.4
174.6981,-52.69
174.7981,-52.5
174.8981,-52.5
174.9981,-52.87
175.0981,-53.16
175.1981,-54.1
175.2981,-56.07
175.3981,-56.36
175.4981,-55.98
175.5981,-56.17
175.6981,-53.91
175.7981,-53.72
175.8981,-54.19
175.9981,-53.34
176.0981,-55.04
176.1981,-54.57
176.2981,-53.82
176.3981,-54.76
176.4981,-55.23
176.5981,-54.85
176.6981,-55.51
176.7981,-55.79
176.8981,-55.98
176.9981,-53.91
177.0981,-52.69
177.1981,-52.97
177.2981,-52.22
177.3981,-50.62
177.4981,-51.65
177.5981,-52.5
177.6981,-52.12
177.7981,-51.93
177.8981,-53.91
177.9981,-56.45
178.0981,-57.2
178.1981,-56.07
178.2981,-53.63
178.3981,-52.69
178.4981,-52.69
178.5981,-53.16
178.6981,-52.59
178.7981,-53.63
178.8981,-52.4
178.9981,-52.78
179.0981,-53.91
179.1981,-53.53
179.2981,-53.06
179.3981,-54.94
179.4981,-56.45
179.5981,-57.39
179.6981,-56.73
179.7981,-55.7
179.8981,-55.51
179.9981,-52.97
180.0981,-51.46
180.1981,-53.06
180.2981,-51.93
180.3981,-51.93
180.4981,-53.25
180.5981,-55.23
180.6981,-56.45
180.7981,-56.54
180.8981,-56.64
180.9981,-54.38
181.0981,-52.4
181.1981,-52.22
181.2981,-52.22
181.3981,-51.37
181.4981,-50.99
181.5981,-52.4
181.6981,-53.53
181.7981,-54.38
181.8981,-54.1
181.9981,-55.04
182.0981,-55.6
182.1981,-55.98
182.2981,-58.24
182.3981,-56.17
182.4981,-55.04
182.5981,-53.16
182.6981,-51.56
182.7981,-51.56
182.8981,-49.86
182.9981,-50.62
183.0981,-50.99
183.1981,-52.5
183.2981,-53.91
183.3981,-55.79
183.4981,-57.2
183.5981,-55.79
183.6981,-54.19
183.7981,-54.66
183.8981,-53.06
183.9981,-52.5
184.0981,-53.44
184.1981,-52.97
184.2981,-52.5
184.3981,-52.97
184.4981,-54.19
184.5981,-53.53
184.6981,-52.78
184.7981,-53.63
184.8981,-54.85
184.9981,-53.91
185.0981,-54.19
185.1981,-54.19
185.2981,-53.06
185.3981,-51.46
185.4981,-51.93
185.5981,-52.03
185.6981,-53.82
185.7981,-53.91
185.8981,-54.85
185.9981,-55.6
186.0981,-56.45
186.1981,-56.45
186.2981,-54.85
186.3981,-53.34
186.4981,-53.63
186.5981,-51.74
186.6981,-50.62
186.7981,-50.9
186.8981,-50.99
186.9981,-51.09
187.0981,-51.09
187.1981,-52.22
187.2981,-53.44
187.3981,-53.25
187.4981,-54.76
187.5981,-56.07
187.6981,-57.02
187.7981,-56.36
187.8981,-54.76
187.9981,-53.72
188.0981,-53.72
188.1981,-53.82
188.2981,-51.84
188.3981,-51.93
188.4981,-53.34
188.5981,-54.47
188.6981,-54.47
188.7981,-54.66
188.8981,-55.6
188.9981,-55.13
189.0981,-54.0
189.1981,-53.91
189.2981,-54.19
189.3981,-53.25
189.4981,-52.97
189.5981,-53.34
189.6981,-53.34
189.7981,-53.06
189.8981,-53.82
189.9981,-54.66
190.0981,-54.19
190.1981,-54.47
190.2981,-55.79
190.3981,-55.98
190.4981,-55.6
190.5981,-53.16
190.6981,-52.22
190.7981,-52.12
190.8981,-51.18
190.9981,-50.24
191.0981,-50.9
191.1981,-53.53
191.2981,-54.38
191.3981,-54.19
191.4981,-56.45
191.5981,-56.92
191.6981,-56.83
191.7981,-57.96
191.8981,-56.73
191.9981,-55.7
192.0981,-52.87
192.1981,-51.56
192.2981,-52.31
192.3981,-53.34
192.4981,-53.25
192.5981,-52.22
192.6981,-53.06
192.7981,-52.31
192.8981,-52.87
192.9981,-53.44
193.0981,-53.63
193.1981,-54.57
193.2981,-54.94
193.3981,-53.44
193.4981,-51.93
193.5981,-51.74
193.6981,-52.87
193.7981,-52.5
193.8981,-52.31
193.9981,-53.82
194.0981,-56.17
194.1981,-55.42
194.2981,-55.13
194.3981,-54.85
194.4981,-54.85
194.5981,-53.44
194.6981,-52.87
194.7981,-51.37
194.8981,-51.65
194.9981,-53.25
195.0981,-53.53
195.1981,-52.59
195.2981,-52.59
195.3981,-53.82
195.4981,-55.13
195.5981,-54.85
195.6981,-56.92
195.7981,-58.8
195.8981,-57.3
195.9981,-55.23
196.0981,-52.12
196.1981,-50.52
196.2981,-50.24
196.3981,-51.37
196.4981,-50.05
196.5981,-50.8
196.6981,-53.25
196.7981,-52.97
196.8981,-54.29
196.9981,-57.49
197.0981,-55.79
197.1981,-54.57
197.2981,-54.47
197.3981,-54.0
197.4981,-53.34
197.5981,-53.25
197.6981,-52.69
197.7981,-53.25
197.8981,-53.53
197.9981,-53.63
198.0981,-53.82
198.1981,-52.87
198.2981,-53.82
198.3981,-54.38
198.4981,-55.51
198.5981,-55.23
198.6981,-54.57
198.7981,-54.19
198.8981,-52.97
198.9981,-52.12
199.0981,-52.12
199.1981,-52.03
199.2981,-52.97
199.3981,-54.47
199.4981,-55.79
199.5981,-55.79
199.6981,-56.54
199.7981,-57.02
199.8981,-55.89
199.9981,-54.47
200.0981,-53.91
200.1981,-54.47
200.2981,-52.22
200.3981,-52.03
200.4981,-50.52
200.5981,-52.12
200.6981,-52.5
200.7981,-52.87
200.8981,-53.06
200.9981,-53.53
201.0981,-55.79
201.1981,-57.49
201.2981,-57.3
201.3981,-55.7
201.4981,-54.0
201.5981,-54.94
201.6981,-54.76
201.7981,-52.5
201.8981,-52.59
201.9981,-51.65
202.0981,-52.12
202.1981,-52.22
202.2981,-53.53
202.3981,-54.94
202.4981,-55.13
202.5981,-54.85
202.6981,-54.57
202.7981,-54.85
202.8981,-53.25
202.9981,-52.78
203.0981,-52.78
203.1981,-52.78
203.2981,-53.16
203.3981,-53.63
203.4981,-54.47
203.5981,-55.04
203.6981,-53.91
203.7981,-54.94
203.8981,-56.45
203.9981,-56.36
204.0981,-55.04
204.1981,-53.82
204.2981,-50.99
204.3981,-50.33
204.4981,-52.22
204.5981,-50.8
204.6981,-51.37
204.7981,-52.5
204.8981,-53.25
204.9981,-54.94
205.0981,-56.17
205.1981,-57.67
205.2981,-57.39
205.3981,-55.79
205.4981,-54.66
205.5981,-53.16
205.6981,-52.5
205.7981,-52.12
205.8981,-51.65
205.9981,-53.34
206.0981,-52.97
206.1981,-52.03
206.2981,-53.91
206.3981,-54.0
206.4981,-54.66
206.5981,-55.42
206.6981,-55.51
206.7981,-55.7
206.8981,-55.42
206.9981,-54.1
207.0981,-52.87
207.1981,-52.4
207.2981,-52.59
207.3981,-53.53
207.4981,-54.19
207.5981,-54.19
207.6981,-54.38
207.7981,-55.51
207.8981,-54.76
207.9981,-53.16
208.0981,-54.0
208.1981,-54.57
208.2981,-53.06
208.3981,-52.5
208.4981,-51.37
208.5981,-51.56
208.6981,-52.22
208.7981,-52.12
208.8981,-53.53
208.9981,-54.66
209.0981,-55.13
209.1981,-57.67
209.2981,-57.11
209.3981,-56.17
209.4981,-55.79
209.5981,-54.0
209.6981,-51.37
209.7981,-51.84
209.8981,-50.8
209.9981,-50.62
210.0981,-51.93
210.1981,-53.25
210.2981,-54.47
210.3981,-53.34
210.4981,-53.53
210.5981,-55.13
210.6981,-55.7
210.7981,-55.7
210.8981,-54.85
210.9981,-53.91
211.0981,-54.66
211.1981,-52.59
211.2981,-52.12
211.3981,-52.69
211.4981,-52.59
211.5981,-54.38
211.6981,-53.34
211.7981,-55.32
211.8981,-55.98
211.9981,-55.42
212.0981,-54.94
212.1981,-54.38
212.2981,-53.63
212.3981,-53.06
212.4981,-51.93
212.5981,-50.99
212.6981,-51.37
212.7981,-53.16
212.8981,-53.25
212.9981,-55.7
213.0981,-57.11
213.1981,-57.2
213.2981,-56.83
213.3981,-55.42
213.4981,-54.76
213.5981,-52.97
213.6981,-51.74
213.7981,-51.56
213.8981,-52.12
213.9981,-52.87
214.0981,-51.27
214.1981,-52.5
214.2981,-52.12
214.3981,-52.03
214.4981,-54.1
214.5981,-55.23
214.6981,-56.45
214.7981,-58.05
214.8981,-57.11
214.9981,-55.42
215.0981,-54.85
215.1981,-53.16
215.2981,-51.93
215.3981,-51.84
215.4981,-52.03
215.5981,-52.22
215.6981,-52.78
215.7981,-53.25
215.8981,-54.19
215.9981,-55.13
216.0981,-55.98
216.1981,-54.0
216.2981,-53.91
216.3981,-53.53
216.4981,-53.72
216.5981,-54.38
216.6981,-52.5
216.7981,-53.25
216.8981,-53.91
216.9981,-53.82
217.0981,-54.19
217.1981,-55.89
217.2981,-57.02
217.3981,-57.11
217.4981,-55.51
217.5981,-54.29
217.6981,-53.16
217.7981,-52.31
217.8981,-52.31
217.9981,-51.93
218.0981,-51.74
218.1981,-50.99
218.2981,-51.84
218.3981,-53.63
218.4981,-54.94
218.5981,-55.89
218.6981,-55.89
218.7981,-56.92
218.8981,-56.17
218.9981,-54.94
219.0981,-53.72
219.1981,-53.63
219.2981,-51.37
219.3981,-49.02
219.4981,-49.67
219.5981,-51.09
219.6981,-50.71
219.7981,-51.37
219.8981,-52.22
219.9981,-54.38
220.0981,-56.73
220.1981,-56.36
220.2981,-54.94
220.3981,-54.19
220.4981,-53.72
220.5981,-53.53
220.6981,-53.34
220.7981,-53.63
220.8981,-56.07
220.9981,-53.91
221.0981,-54.1
221.1981,-54.94
221.2981,-54.66
221.3981,-54.94
221.4981,-54.94
221.5981,-54.66
221.6981,-53.63
221.7981,-54.1
221.8981,-53.44
221.9981,-52.87
222.0981,-53.72
222.1981,-53.53
222.2981,-53.63
222.3981,-53.44
222.4981,-53.34
222.5981,-54.0
222.6981,-56.36
222.7981,-57.02
222.8981,-56.83
222.9981,-56.83
223.0981,-55.42
223.1981,-54.94
223.2981,-53.34
223.3981,-51.65
223.4981,-50.99
223.5981,-50.33
223.6981,-51.27
223.7981,-52.59
223.8981,-52.87
223.9981,-54.29
224.0981,-55.98
224.1981,-54.76
224.2981,-54.66
224.3981,-56.07
224.4981,-54.94
224.5981,-54.57
224.6981,-54.66
224.7981,-53.72
224.8981,-53.16
224.9981,-53.16
